code,description_en,category,product_family,system,catalog_version,pack_quantity,pack_unit,order_unit,ean,height_mm,width_mm,length_mm,material_code,finish_code,weight_value,weight_unit,weight_basis_quantity,weight_basis_unit,approval_number,dop_number,indoor_only,engineering_verification_required,is_orderable,source_document,source_printed_page,source_pdf_page,source_table_or_row,engineering_note
GSM 306,Included-only catalog fastener component,accessory,GSM,shared,2022-p0,,,pcs,,,,,steel,catalog-stated,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 355,359,Included-accessory statement for GSM 306,
GSM 306 E3,Included-only catalog fastener component,accessory,GSM,shared,2022-p0,,,pcs,,,,,steel,E3,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 355,359,Included-accessory statement for GSM 306 E3,
FL 6X12-S V,Included-only catalog fastener component,accessory,FL,shared,2022-p0,,,pcs,,,,,steel,V,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 450,454,Included-accessory statement for FL 6X12-S V,
FL 6X12-S E3,Included-only catalog fastener component,accessory,FL,shared,2022-p0,,,pcs,,,,,steel,E3,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 450,454,Included-accessory statement for FL 6X12-S E3,
SMS 6 V,Included-only catalog fastener component,accessory,SMS,shared,2022-p0,,,pcs,,,,,steel,V,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 450,454,Included-accessory statement for SMS 6 V,
SMS 6 E3,Included-only catalog fastener component,accessory,SMS,shared,2022-p0,,,pcs,,,,,steel,E3,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 450,454,Included-accessory statement for SMS 6 E3,
US M8 E3,Included-only catalog fastener component,accessory,US,shared,2022-p0,,,pcs,,,,,steel,E3,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 450,454,Included-accessory statement for US M8 E3,
KSV 60 S,Straight-joint connector,accessory,KSV,KL,2022-p0,20,pcs,pcs,,60,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KSV 60 S,
KSV 60 F,Straight-joint connector,accessory,KSV,KL,2022-p0,20,pcs,pcs,,60,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KSV 60 F,
KSV 60 E3,Straight-joint connector,accessory,KSV,KL,2022-p0,20,pcs,pcs,,60,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KSV 60 E3,
KSV 60 E5,Straight-joint connector,accessory,KSV,KL,2022-p0,20,pcs,pcs,,60,,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 340,344,KSV 60 E5,
KSV 60/320 S,Long straight-joint connector,accessory,KSV,KL,2022-p0,20,pcs,pcs,,60,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 341,345,KSV 60/320 S,
KSV 60/320 F,Long straight-joint connector,accessory,KSV,KL,2022-p0,20,pcs,pcs,,60,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 341,345,KSV 60/320 F,
KSV 60/320 E3,Long straight-joint connector,accessory,KSV,KL,2022-p0,20,pcs,pcs,,60,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 341,345,KSV 60/320 E3,
KSV 60/320 E5,Long straight-joint connector,accessory,KSV,KL,2022-p0,20,pcs,pcs,,60,,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 341,345,KSV 60/320 E5,
KLTA 60.203,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.203,
KLTA 60.303,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.303,
KLTA 60.403,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.403,
KLTA 60.503,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.503,
KLTA 60.603,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.603,
KLTA 60.203 F,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.203 F,
KLTA 60.303 F,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.303 F,
KLTA 60.403 F,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.403 F,
KLTA 60.503 F,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.503 F,
KLTA 60.603 F,Attachable T-piece,fitting,KLTA,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 342,346,KLTA 60.603 F,
KLAR 60.203,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.203,
KLAR 60.303,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.303,
KLAR 60.403,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.403,
KLAR 60.503,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.503,
